page title,url,description
Pacific Ballet Academy Home Page,http://www.pacificballet.org/,"Pacific Ballet Academy offers graded ballet classes for pre-ballet through pre-professional students, and for adults."
Peninsula Ballet Theatre | ,http://peninsulaballet.org/,"Whether you’re 90 or age 9 or younger we have dance classes for YOU and your family! ADULT: Beginning and Intermediate Ballet, Jazz, Tap, Hip Hop, Ballroom and Falmenco  View the Schedule TEENS: Beginning and Intermediate Ballet, Lyrical/Contemporary, Jazz,  Tap and Hip..."
Page not found | Peninsula Youth Ballet,http://pyb.org/index.html,""
Peter & Co. San Francisco - Dancers' Group ,http://dancersgroup.org/sponsored-projects/peter-co/,"After a six year hiatus, Peter Cheng launched a solo dance project in February 2014 presenting site specific short improvisations in public spaces – from the Santa Barbara County Courthouse to Cupid’s Span in San Francisco, and as far east as the Cleveland Museum of Art. These improvisations were documented on YouTube as 30-second to 3-minute video clips with some improvisations presented in tandem with Dance Anywhere 2014 and Bay Area Dance Week."
sjDANCEco igniting the spirit of dance in San Jose,http://www.sjdanceco.org/,sjDANCEco is a contemporary dance company that brings world premiers to the stage as well as hosting comminity events for local choreographers and dance companies
Santa Clara Ballet,http://www.santaclaraballet.com/,Santa Clara Ballet company and school information
Home: San Francisco Ballet,https://www.sfballet.org/,Background Photo Credit: Backstage San Francisco Ballet backstage during Balanchine's The Four Temperaments (© Erik Tomasson)
"",http://www.smuinballet.org/,""
Nothing found for  Svb About_Svb,http://www.morganhilldance.com/SVB/about_svb.html,"The page you trying to reach does not exist, or has been moved. Please use the menus or the search box to find what you are looking for"
"",http://www.tinypistol.com/,""
Western Ballet,http://www.westernballet.org/,Ballet For Everyone
Valley Dance Theatre,http://www.valleydancetheatre.com/,"The Tri-Valley's Premier Ballet Company and Ballet School, serving Livermore, Pleasanton, and Dublin for over 30 years! "
Yabt.org,http://www.yabt.org/,"Find Cash Advance, Debt Consolidation and more at Yabt.org. Get the best of Insurance or Free Credit Report, browse our section on Cell Phones or learn about Life Insurance. Yabt.org is the site for Cash Advance."
Yabt.org,http://www.yabt.org/,"Find Cash Advance, Debt Consolidation and more at Yabt.org. Get the best of Insurance or Free Credit Report, browse our section on Cell Phones or learn about Life Insurance. Yabt.org is the site for Cash Advance."
"
      Ariel Dance Productions    ",http://www.arieldanceproductions.com/,Ariel Dance Productions. Dance lessons and performances.
AXIS Dance Company,http://www.axisdance.org/,Home Season Page
HugeDomains.com - BlissDance.com is for sale (Bliss Dance),http://www.hugedomains.com/domain_profile.cfm?d=blissdance&e=com,"Create a blog, promote your business, or build a site for your personal use.  Your web address is memorable and uniquely your own."
Capacitor,http://www.capacitor.org/,"Capacitor Performance, a dance, cirque nouveau, aerial company, 
collaborates with scientists to create art experiences and entertainment 
which bond audiences with nature."
cali&coHOME,http://www.calidance.info/,""
DOUBLE VISION | Intermedia Performance,http://www.double-vision.org/,"Founded in 2003, DOUBLE VISION creates experimental performances for dance, music, and video that embody the changing landscape of contemporary culture."
"",http://www.ftpg.org/,""
Flyaway Productions | Apparatus Based Dance,http://flyawayproductions.com/,"We are thrilled to announce that we have received a generous grant from the Wattis Foundation to support Along These Lines, which premieres in October in the Tenderloin... stay tuned!


"
group A :: home,http://www.groupadance.com/,""
ヒフミド（小林製薬）敏感肌におすすめの化粧品,http://www.hmdance.org/,小林製薬の敏感肌化粧品「ヒフミド」の口コミを紹介します。
Joe Goode Performance Group,http://www.joegoode.org/,""
404 Not Found,http://www.el.net/hod/histmain.html,""
ミニチュアシュナウザー王国,http://www.motion-lab.net/,ミニチュアシュナウザー王国
paufvedance,http://www.paufvedance.org/,""
Home - Printz Dance Project,http://hoverspace.printzdance.org/,"Printz Dance Project presents Hover Space Nov 30 + Dec 1-3, 2011 @ Z Space SF | Please explore this site for more info and some sneak peeks into the work."
"",http://www.projectbandaloop.org/,""
Run For Your Life!...it's a dance company! -- home page,http://www.runforyourlife.org/,""
Home ,http://www.smithwymore.org/,"Number Zero is both a game and an experiment in real-time computer augmented performance. This semi-improvised dance is about a semi-intelligent computer system threatening to evolve itself into a space opera, aka: a television inspired sci-fi narrative about a defective computer system taking control over a band of humans. Set in a near future world that is only marginally different from our own, the dance continuously reconstructs itself anew, searching in vain for the perfect balance of human contentment and computer power. The participants (performers) find themselves trapped in a kind of limbo where the only hope is to win over the “heart"" of the machine by successfully completing the system’s bizarre set of games of mental, physical and spiritual endurance. The work is comical, bleak and completely unpredictable. All we know for sure is that no two performances will ever be alike."
"",mailto:transitdanceco@post.com,""
Zaccho Dance Theatre-Site Specific and Aerial Dance,http://www.zaccho.org/,""
abigail hosein dance company,http://www.ahdanco.org/,""
"",http://www.abdproductions.org/,""
ArtistEDGE Home Page,http://www.artistedge.net/index.html,""
Chaddick Dance Theater,http://www.chaddickdancetheater.com/,Dance Company in Austin Texas
Copious Dance Theater | San Francisco based Modern Dance Company under the direction of Kat Roman,http://copiousdance.org/,"http://www.youtube.com/watch?v=ScEWqwUlU4s Photo by Hemaliphoto.com | Dancers: Angela Dice Nguyen, Harper Addison"
Dance Elixir: Welcome!,http://www.danceelixir.org/,""
Kathryn Roszak's Danse Lumiere - dlkdance.com,http://www.dlkdance.com/,"Our successful, high-quality Dance Program for Children & Teens is now in its 14th year of providing classes for girls and boys in Creative Movement as well as Beginning and Intermediate Ballet. Spring 2015 classes ended in early May, and Fall 2015 registration has begun. Registration for all classes is ongoing until filled; please call or e-mail to inquire."
dRep: About Us,http://www.dancerepertory.org/,"ATTENTION! All Vision Series participants: 
                      2016 Registration Kit
                      Nov. 15 Dance Day Registration Kit  
                      
                      2015 Photo Galleries 
                      Browse and Buy HERE:   http://andymoggphotovideo.zenfolio.com  
                      Password: DREPs
                    "
Dandelion Dancetheater's Homepage,http://www.dandeliondancetheater.org/,"The website for Dandelion Dancetheater, Bandelion, the CSUEB Inclusive Interdisciplinary Ensemble, and projects of Eric Kupers and Kimiko Guthrie."
"",http://www.deborahslater.org/,"opening page, links to rest of site, photo slide show"
FEDM: Home,http://www.fedm.org/,Facing East Dance and Music: About Us: History
Harmony Dance Center - ,http://harmonydancecenter.com/,""
Harmony Dance Center  –  Performing Company,http://harmonydancecenter.com/companies-and-teams/children-performing-company/,The Performing Company comprises of dancers interested in gaining performing experience. They will have the opportunity to perform in front of different types of audience and on different type of venues/floor. We are proud to offer our dancers an incomparable and enriching experience. They will gain confidence in their performing capabilities and will be able to use them in their everyday life.
Home: High Release Dance,http://www.highrelease.org/,"Did you miss our 10th biannual concert?  Our photo gallery will be here
soon!


more about performances


More ways to keep up with us!
Join our mailing list,
find High
Release Dance Company on Facebook, and follow us on Twitter!

"
Home: Jennifer Mellor Dance Project,http://www.jennifermellor.com/,"Jennifer Mellor Dance Project - modern dance performance and choreography - New York, San Francisco, Tulsa."
 Home –– Jess Curtis/Gravity,http://www.jesscurtisgravity.org/,""
Jumpin' at the Sun Dance Company | Facebook,https://www.facebook.com/pages/Jumpin-at-the-Sun-Dance-Company/716737038351212,"Jumpin' at the Sun Dance Company, San Ramon, California. 205 likes. Jumpin' at the Sun is the resident professional dance company of the City of San..."
"",http://kkde.org/,""
 Epiphany Productions Sonic Dance Theater,http://www.epiphanydance.org/,"In October of 2015, Epiphany Productions will produce the 12th annual San Francisco Trolley Dances (SFTD), an admission-free festival that has been dubbed “art for citizens” and “a gift to the City” by past attendees.…"
KUNST-STOFF - Welcome to KUNST-STOFF,http://www.kunst-stoff.org/,KUNST-STOFF Productions focuses on international collaborations and co-productions with co-directors and curators Yannis Adoniou and Tomi Paasonen.
 Gretchen Garnett and Dancers,http://www.gretchengarnettanddancers.com/,"Come join Gretchen Garnett & Dancers in this shared show with HORSE Dance Company (Taiwan), Christine Germain and Dancers (USA) and Davalos Dance Company (USA)."
"
	labayendancesf.org - Registered at Namecheap.com
",http://www.labayendancesf.org/,Purchase domain names from just $3.98 per year. You can also transfer domain from another registrar to us for the same competitive price.
"",http://www.levydance.org/,""
"",http://www.limon.org/,""
"
Liss Fain Dance: A contemporary and modern dance company
",http://www.lissfaindance.org/,"Liss Fain Dance collaborates with filmmakers, visual designers, musicians and technologists, integrating the ideas and designs of artists from other disciplines into evocative and precise choreography."
"LV Dance Collective I Contemporary Fusion Dance Company I SF, CA",http://www.lvdancecollective.com/,"LV Dance Collective is a Contemporary Fusion Bay Area based performing company, under the Artistic Direction of Kao Vey Saephanh and Martha L. Zepeda."
Error 404 - Not Found,http://www.mjdc.org/main.html,The document you are looking for may have been removed or re-named. Please contact the web site owner for further assistance.
Page Not Found,http://www.livesv.com/wingrove.html,""
Mark Foehringer Dance Project | San Francisco,http://www.mfdpsf.org/,"MFDP | SF will represent the United States at
					  Danza Nueva in Lima Peru, June 15 - 20, 2015
					  and in Chiclayo Peru, 
					  sponsored in part by the American Embassy in Peru.
				  "
Movingartsdance.org,http://www.movingartsdance.org/,"Find Cash Advance, Debt Consolidation and more at Movingartsdance.org. Get the best of Insurance or Free Credit Report, browse our section on Cell Phones or learn about Life Insurance. Movingartsdance.org is the site for Cash Advance."
nancykarp,http://www.nancykarp.org/,""
Natasha Carlitz Dance Ensemble: Performances,http://www.carlitzdance.org/,"For our 2015 season, ""Powers of Two"" takes the Natasha Carlitz Dance Ensemble into new territory in collaboration with classical composer Mike Coffin (hear music samples).  Working closely together, Coffin and Carlitz have developed a series of new works.  NCDE is also delighted to welcome guest company ArtistEDGE, premiering ""Esperanza"" by Jeannine Charles, with poetry performed live by Val Esperanza Ge.  Rounding out the program are contributions from company members Maggie Hurd and Thea Patterson, plus a few Carlitz classics.
        "
DANNYDANCERS.ORG,http://www.dannydancers.org/,""
ODC Home,http://www.odcdance.org/,""
Peter & Co. San Francisco - Dancers' Group ,http://dancersgroup.org/sponsored-projects/peter-co/,"After a six year hiatus, Peter Cheng launched a solo dance project in February 2014 presenting site specific short improvisations in public spaces – from the Santa Barbara County Courthouse to Cupid’s Span in San Francisco, and as far east as the Cleveland Museum of Art. These improvisations were documented on YouTube as 30-second to 3-minute video clips with some improvisations presented in tandem with Dance Anywhere 2014 and Bay Area Dance Week."
"",http://www.pushdance.org/,""
RAWdance,http://www.rawdance.org/,"RAWdance's works expose an intimate, honest core of our relationships and identities, exploring the power and vulnerability of the human body."
"",http://www.rebeccasalzerdance.org/,""
"",http://www.retaildance.org/,""
Robert Moses' Kin,http://www.robertmoseskin.org/,Robert Moses' Kin is an American dance company known for artistic and choreographic innovation. It was founded in 1995 and operates out of the San Francisco.
Roco Dance & Fitness,http://www.rocodance.com/,"Classes and intensives are offered June 22-July 31st for all ages and levels. Summer is a time for growth spurts emotionally, physically and"
Ross Dance Company,http://www.rossdance.com/,""
savage jazz dance company - Savage Jazz Dance Company,http://www.savagejazz.org/,"
	""...the most layered, sophisticated concert jazz dance company in these Western climes...""-Dance Magazine""Explosive!""-S.F. Chronicle""Fiercely physical""-Urban View""...Spectacular dancing""-SF Bay Guardian""As engaging as ever""-Voice of Dance""Sizzling""-Allan Ulrich
"
Scott Wells & Dancers,http://scottwellsdance.com/,""
sjDANCEco igniting the spirit of dance in San Jose,http://www.sjdanceco.org/,sjDANCEco is a contemporary dance company that brings world premiers to the stage as well as hosting comminity events for local choreographers and dance companies
ガンジーでありたい,http://www.transitdance.com/,""
Udance Electra | A Modern Dance Company,http://www.udanceelectra.com/,"U Dance Electra’s mission is to bring current, bold and stimulating works of art to the field of dance by combining fitness with dance. Choreographer Monica Mark’s dynamic work encourages each dancer to reach for new heights while her choreography emphasizes strong technical foundations, rhythmical creativity and a performance quality like no other. U Dance Electra’s vision is to inspire our multicultural audiences when we hit the dance floor with our fresh and magnetic ultra-modern dance! We envision our audiences connecting with our professional work on a visceral level and to be inspired to dance themselves. U Dance Electra’s physical fitness training combined with it’s dance forms makes it an one off studio in San Francisco."
Tyler Conlon | About,http://www.vabang.org/,""
Zohar School of Dance & Company Celebrating 30 Years of Dance,http://www.zohardancecompany.org/,"Zohar School of Dance and Company is a non-profit organization based in Palo Alto, California. Founded by Ehud Krauss in 1979 and directed by Ehud and his wife Daynee Krauss, Zohar offers dance classes for adults in jazz, ballet, and modern dance and has outreach programs, IndepenDANCE, for children with special needs, pre-school and elementary school children, and Juvie Jazz for incarcerated youth.    "
Bay Area Dance Week,http://bayareandw.org/,"Thousands participated in a wide range of free classes, performances, open rehearsals, lecture demonstrations, One Dance, and more. It was a great week of dancing with so many fun people in celebration of all things dance."
Page Not Found - Dancers' Group ,http://dancersgroup.org/dancecalifornia/,"Dancers' Group promotes the visibility and viability of dance. We serve San Francisco Bay Area artists, the dance community and audiences through programs and services that are as collaborative and innovative as the creative process itself. In response to the needs of its constituents, Dancers' Group has evolved to fulfill a dual function as a service organization and as a presenter of performance opportunities that maximize the visibility of dance in the Bay Area."
Djerassi Resident Artists Program,http://www.djerassi.org/,"The mission of the Djerassi Resident Artists Program is to support and enhance the creativity of artists by providing uninterrupted time for work, reflection, and collegial interaction in a setting of great natural beauty, and to preserve the land on which the Program is situated."
The Isadora Duncan Dance Awards,http://www.izzies-sf.org/,""
Album1,http://www.muse-sf.org/,""
San Francisco Downtown Hotel Service - Search Hotels near San Francisco Downtown,http://www.sanfrancisco.downtownhotelservice.com/,"San Francisco Downtown Hotel Service is the ultimate source for booking hotels near downtown San Francisco, California by using hotel maps, hotel list, and featured hotels."
summerfestdance.org,http://summerfestdance.org/,""
Bing Concert Hall | Stanford Live,http://live.stanford.edu/plan-your-visit/venues/bing-concert-hall,"Bing Concert Hall’s 842 seats are arranged in a “vineyard” format, with seating sections ringing the stage. What’s more, the center-section seating begins on the same level as the stage. The result is a concert experience of unparalleled intimacy, offering exquisite sightlines from all angles and a rare conjoining of artists and audience."
"",http://www.sanjose.org/meetings/facilities/ca_theatre.php,""
Cal Performances,http://www.calperformances.net/,"Cal Performances is the UC Berkeley-based presenting, commissioning and producing organization for world-class music, dance and theater events"
Cal Performances,http://calperformances.org/,"Cal Performances is the UC Berkeley-based presenting, commissioning and producing organization for world-class music, dance and theater events"
hjkevents.com,http://ww1.hjkevents.com/,""
"",http://www.sanjose.org/meetings/facilities/perf_arts.php,""
"",http://www.gocsm.net/theatre,""
"",http://www.counterpulse.org/,""
404,http://www.fortmason.org/theaters/index.html#cowell,""
Welcome to Dance Mission Theater,http://www.dancemission.com/,"Dance Mission Theater is a non-profit, multicultural dance center located in the heart of San Francisco's Mission District."
"",http://www.best.com/~dancegrp/,""
Lesher Center for the Arts - Live theatre in beautiful downtown Walnut Creek,http://www.lesherartscenter.org/,The Lesher Center for the Arts is the premier live theatre destination in Central Contra Costa County in Downtown Walnut Creek.
"",http://www.975howard.com/,""
Accueil,http://www.jonsimsctr.org/,Nombreux sont les types de formation permettant aux jeunes et demandeurs d’emploi de rencontrer leurs nouveaux employeurs. La formation secretaire medicale vise à prodiguer des cours complets liés à l’assistance des médecins et à l’accueil des patients. 
Berkeley Playhouse  ,http://berkeleyplayhouse.org/, Now Enrolling! We are currently enrolling for summer camps! There is something for everyone at Berkeley Playhouse. Check out our offerings and
404 - File or directory not found.,http://www.oaklandnet.com/parks/facilities/mcca.asp,""
"
	County of Marin - Cultural Services
",http://www.marincounty.org/depts/cu,""
MVCPA Main Menu,http://mountainview.gov/mvcpa/mainmenu.html,"The Mountain View Center for the 
              Performing Arts. Intelligently 
              designed with state-of-the-art technology, the Center is perfectly 
              suited for its stated goal--to host a comprehensive performing arts 
              program for a culturally diverse community. "
ODC Home,http://www.odcdance.org/,""
 Palace of Fine Arts Theatre ,http://palaceoffinearts.org/,"Palace of Fine Arts Theatre, 3301 Lyon Street San Francisco, CA 94123"
"Welcome to the Paramount Theatre, Oakland, California",http://www.paramounttheatre.com/,"The Paramount Theatre serves all the arts in Oakland, California: symphony to soul, rock 'n roll to rhythm and blues."
Campus Access Guide ,http://maps.stanford.edu/ada/building-ada.cfm?FACIL_ID=04-650,"Roble 
Gym is located at 375 Santa Teresa Street.  
It is on the corner of Santa Teresa Street and Samuel Morris Way across 
from Roble Hall.  
"
San Francisco Performances | 2015–2016 Season Announcement,http://www.performances.org/,"Series Subscription tickets are available online now. To purchase tickets, browse the list below and select the series you would like to purchase, then click on the Buy Series Ticket link to make your purchase. Make-Your-Own Series are not available online—please call 415.677.0325. "
Page not found,http://www.sjsu.edu/depts/dance_program/cal.htm,""
Shawl-Anderson Dance Center,http://www.shawl-anderson.org/,""
"",http://www.ohlone.cc.ca.us/org/smith_ctr/,""
SOMArts,http://www.somarts.org/,"SOMArts empowers artists and the multifaceted communities of San Francisco by supporting and producing work that is culturally engaged, deeply social and political and thrillingly experimental. It connects over 2,000 organizations and individuals each year to activate public space citywide and to organize community-building exhibitions, classes, performances and events for over 30,000 at the South of Market Cultural Center."
2014-15 Season | Stanford Live,http://live.stanford.edu/,""
Stern Grove Festival - Home,http://www.sterngrove.org/,""
"",http://www.artaud.org/theater/,""
Footloose Dance Company and Shotwell Studios (venue9),http://www.ftloose.org/index.html,"Footloose is an arts-presenting and producing organization that also creates and develops work in collaboration with artists from all fields of the performing arts, especially emerging and established women artists. The company provides resources and a home base for women to develop their work from initial through exhibition stages of the production process in order to promote their professional careers."
"",http://www.sfballet.org/performancestickets/planyourvisit/warmemorialoperahouse.asp,""
"",http://www.yerbabuenaarts.org/,""
Z Space,http://www.zspace.org/,San Francisco
